seed,dq,dp,de,dgf,dgm,dg1,dg2,dg3,dg4,pf,pm,p1,p2,p3,p4,blue_daf,blue_dam,blue_da1,blue_da2,blue_da3,blue_da4,pink_daf,pink_dam,pink_da1,pink_da2,pink_da3,pink_da4,blue_laf,blue_lam,blue_la1,blue_la2,blue_la3,blue_la4,pink_laf,pink_lam,pink_la1,pink_la2,pink_la3,pink_la4,pedid,xr1,blue_recomb,x1,xr2,pink_recomb,x2,x
109012865,0.4,0.6,0.1,1,1,1,1,1,1,-0.509263612,-0.571669756,-0.629312166,-0.521023979,-0.450405705,-0.465858041,1,1,1,1,1,1,1,1,1,1,1,1,6,3,6,6,6,5,5,1,3,3,1,1,633,0.8707383386,0,0.9021786688,0.7815846953,0,0.7989867631,1.3414195865
46080972,0.4,0.6,0.1,2,1,2,1,2,2,0.0957725619,-0.673251381,-0.040752151,-0.634982628,-0.156562968,0.0633513232,2,1,2,1,2,2,1,1,1,1,1,1,1,3,1,1,4,1,4,4,3,3,3,4,634,0.4011437182,0,0.1641336275,0.8099478943,0,0.5553398093,0.6335132322
1415860245,0.4,0.6,0.1,2,1,2,2,1,1,-0.088742428,-0.497097782,0.1742409005,-0.059011866,-0.919383703,-0.661523293,1,1,2,2,1,1,2,1,1,1,1,1,4,1,4,4,4,4,5,3,3,3,1,3,635,0.6478715374,0,0.0555501967,0.5515819004,0,0.9984998028,-0.615232931
40388726,0.4,0.6,0.1,2,2,2,3,1,1,0.0673827983,0.1626336162,-0.02294935,0.7480692917,-0.597894816,-0.489014865,1,1,1,2,1,1,2,2,2,2,1,1,6,1,4,4,4,6,4,1,1,1,1,1,636,0.6560721359,0,0.3207498772,0.3619519045,1,0.3143565069,1.109851354
217332208,0.4,0.6,0.1,1,1,1,1,1,1,-0.6016935,-0.44215496,-0.575076007,-0.891151528,-0.64742246,-0.549613684,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,5,3,3,5,2,2,2,2,2,637,0.4719469461,0,0.1414694046,0.6959343705,0,0.1116260947,0.5038631552
988028257,0.4,0.6,0.1,2,1,2,2,2,1,-0.168198199,-0.597317404,0.2349323162,0.0486495563,0.1197725485,-0.770249649,2,1,2,2,2,1,1,1,1,1,1,1,2,4,2,3,3,2,3,4,4,4,4,4,638,0.0365388068,1,0.6353180854,0.5057509702,0,0.9155168607,-1.702496486
1709638124,0.4,0.6,0.1,2,1,1,2,1,1,-0.081909878,-0.567931992,-0.621644849,-0.131649124,-0.383343485,-0.587736782,1,1,1,2,1,1,2,1,1,1,1,1,2,6,2,3,2,2,3,6,6,6,6,6,639,0.4990150358,0,0.1896064827,0.1841427,1,0.326793492,0.1226321837
865047725,0.4,0.6,0.1,3,2,3,3,2,2,0.9037270182,-0.026964644,0.8806412987,0.791870019,0.0166644936,-0.027693611,2,2,2,2,2,2,2,1,2,2,1,1,4,4,3,4,4,3,3,3,4,4,3,3,640,0.8701767804,0,0.6956151462,0.906098538,0,0.8747742916,-0.276936115
69534741,0.4,0.6,0.1,1,1,1,1,1,1,-0.642950717,-0.571034099,-0.621527057,-0.505793247,-0.674127849,-0.544862059,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,1,1,1,1,1,1,641,0.3735138128,1,0.6251319151,0.9871936524,0,0.3131186731,0.5513794121
1371308171,0.4,0.6,0.1,1,1,1,1,1,1,-0.706561756,-0.500736795,-0.533408865,-0.702038517,-0.491601402,-0.633114932,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,4,4,6,6,5,6,6,642,0.4223696401,0,0.2097857558,0.0751459753,1,0.0192824747,-0.331149321
